IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
150.230.123.143,443,443,true,FRA,Europe,Frankfurt,258,5.38
143.47.188.39,443,443,true,FRA,Europe,Frankfurt,255,5.36
129.159.196.174,443,443,true,FRA,Europe,Frankfurt,252,5.36
144.24.182.101,443,443,true,FRA,Europe,Frankfurt,266,5.36
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,186,5.35
141.147.103.76,443,443,true,FRA,Europe,Frankfurt,266,5.35
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,187,5.34
141.144.244.218,443,443,true,FRA,Europe,Frankfurt,249,5.34
138.3.244.91,443,443,true,FRA,Europe,Frankfurt,258,5.34
144.21.57.234,443,443,true,FRA,Europe,Frankfurt,257,5.30
143.47.225.113,443,443,true,FRA,Europe,Frankfurt,266,5.27
132.226.132.187,443,443,true,FRA,Europe,Frankfurt,284,5.26
141.147.73.180,443,443,true,FRA,Europe,Frankfurt,282,5.25
144.21.54.98,443,443,true,FRA,Europe,Frankfurt,270,5.25
89.168.67.155,443,443,true,FRA,Europe,Frankfurt,258,5.25
152.67.139.4,443,443,true,FRA,Europe,Frankfurt,269,5.23
141.144.198.84,443,443,true,FRA,Europe,Frankfurt,259,5.23
143.47.254.224,443,443,true,FRA,Europe,Frankfurt,270,5.20
89.168.84.4,443,443,true,FRA,Europe,Frankfurt,270,5.19
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,70,5.18
141.147.99.200,443,443,true,FRA,Europe,Frankfurt,258,5.18
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,249,5.17
141.144.196.30,443,443,true,FRA,Europe,Frankfurt,260,5.16
158.180.22.78,443,443,true,FRA,Europe,Frankfurt,249,5.16
152.70.53.161,443,443,true,FRA,Europe,Frankfurt,256,5.16
141.147.65.104,443,443,true,FRA,Europe,Frankfurt,259,5.15
144.21.52.233,443,443,true,FRA,Europe,Frankfurt,270,5.12
84.235.169.138,443,443,true,FRA,Europe,Frankfurt,328,5.12
158.180.21.40,443,443,true,FRA,Europe,Frankfurt,249,5.08
84.8.157.190,443,443,true,FRA,Europe,Frankfurt,267,5.06
152.67.140.11,443,443,true,FRA,Europe,Frankfurt,264,5.03
144.21.63.33,443,443,true,FRA,Europe,Frankfurt,272,5.02
132.145.64.66,443,443,true,FRA,Europe,Frankfurt,260,5.02
84.8.159.44,443,443,true,FRA,Europe,Frankfurt,355,5.01
84.235.170.146,443,443,true,FRA,Europe,Frankfurt,268,5.01
132.145.65.11,443,443,true,FRA,Europe,Frankfurt,271,5.01
193.123.35.49,443,443,true,FRA,Europe,Frankfurt,352,5.00
141.144.201.84,443,443,true,FRA,Europe,Frankfurt,259,5.00
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,214,5.00
144.24.179.222,443,443,true,FRA,Europe,Frankfurt,249,4.98
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,171,4.96
129.151.205.193,443,443,true,ARN,Europe,Stockholm,290,4.94
84.8.155.103,443,443,true,FRA,Europe,Frankfurt,289,4.93
152.70.54.164,443,443,true,FRA,Europe,Frankfurt,255,4.93
84.235.167.13,443,443,true,FRA,Europe,Frankfurt,266,4.92
143.47.253.175,443,443,true,FRA,Europe,Frankfurt,261,4.91
158.178.153.112,443,443,true,FRA,Europe,Frankfurt,261,4.89
158.178.145.131,443,443,true,FRA,Europe,Frankfurt,253,4.88
158.180.49.87,443,443,true,FRA,Europe,Frankfurt,257,4.87
141.144.245.73,443,443,true,FRA,Europe,Frankfurt,249,4.86
141.147.95.117,443,443,true,FRA,Europe,Frankfurt,257,4.86
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,74,4.83
193.122.56.209,443,443,true,FRA,Europe,Frankfurt,259,4.83
158.178.157.75,443,443,true,FRA,Europe,Frankfurt,271,4.83
152.70.155.147,443,443,true,LAX,North America,Los Angeles,185,4.81
152.70.155.147,8080,8080,false,LAX,North America,Los Angeles,214,4.79
143.47.185.62,443,443,true,FRA,Europe,Frankfurt,256,4.78
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,123,4.77
158.180.31.46,443,443,true,FRA,Europe,Frankfurt,277,4.76
140.238.123.125,443,443,true,FRA,Europe,Frankfurt,241,4.74
144.24.172.30,443,443,true,FRA,Europe,Frankfurt,254,4.73
143.47.252.107,443,443,true,FRA,Europe,Frankfurt,267,4.73
143.47.244.113,443,443,true,FRA,Europe,Frankfurt,279,4.72
143.47.238.98,443,443,true,FRA,Europe,Frankfurt,271,4.69
152.67.231.219,443,443,true,SJC,North America,San Jose,179,4.66
152.70.155.147,2086,2086,false,LAX,North America,Los Angeles,185,4.66
150.230.120.62,443,443,true,FRA,Europe,Frankfurt,270,4.64
158.178.145.61,443,443,true,FRA,Europe,Frankfurt,281,4.64
143.47.237.138,443,443,true,FRA,Europe,Frankfurt,295,4.63
144.21.37.253,443,443,true,FRA,Europe,Frankfurt,324,4.62
141.147.116.108,443,443,true,FRA,Europe,Frankfurt,237,4.62
141.144.198.252,443,443,true,FRA,Europe,Frankfurt,253,4.60
152.70.155.147,8880,8880,false,LAX,North America,Los Angeles,183,4.59
144.21.58.230,443,443,true,FRA,Europe,Frankfurt,261,4.58
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,250,4.55
144.21.32.104,443,443,true,FRA,Europe,Frankfurt,259,4.55
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,79,4.54
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,251,4.53
150.230.122.220,443,443,true,FRA,Europe,Frankfurt,261,4.47
140.238.80.28,443,443,true,FRA,Europe,Frankfurt,256,4.44
143.47.234.7,443,443,true,FRA,Europe,Frankfurt,258,4.44
129.146.254.39,443,443,true,LAX,North America,Los Angeles,204,4.44
141.145.205.115,8443,8443,true,CDG,Europe,Paris,239,4.41
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,185,4.41
144.21.61.5,443,443,true,FRA,Europe,Frankfurt,261,4.39
152.70.155.147,2095,2095,false,LAX,North America,Los Angeles,186,4.39
152.70.48.25,443,443,true,FRA,Europe,Frankfurt,267,4.39
144.24.180.139,443,443,true,FRA,Europe,Frankfurt,249,4.39
140.238.80.28,443,443,true,FRA,Europe,Frankfurt,259,4.38
141.144.207.125,443,443,true,FRA,Europe,Frankfurt,256,4.38
138.3.253.140,8080,8080,false,FRA,Europe,Frankfurt,249,4.38
152.70.155.147,2082,2082,false,LAX,North America,Los Angeles,209,4.36
152.70.183.104,443,443,true,FRA,Europe,Frankfurt,270,4.33
84.8.158.133,443,443,true,FRA,Europe,Frankfurt,356,4.31
193.122.61.167,80,80,false,FRA,Europe,Frankfurt,248,4.30
150.230.120.174,443,443,true,FRA,Europe,Frankfurt,277,4.29
158.101.32.53,2053,443,true,LAX,North America,Los Angeles,208,4.25
144.21.55.97,443,443,true,FRA,Europe,Frankfurt,258,4.20
143.47.247.56,443,443,true,FRA,Europe,Frankfurt,267,4.20
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,247,4.20
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,217,4.19
132.145.54.84,8443,443,true,LHR,Europe,London,242,4.16
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,246,4.16
150.230.112.124,443,443,true,FRA,Europe,Frankfurt,255,4.15
129.146.213.36,80,443,true,LAX,North America,Los Angeles,175,4.12
152.70.155.147,80,80,false,LAX,North America,Los Angeles,214,4.11
158.178.206.197,8443,443,true,CDG,Europe,Paris,243,4.09
143.47.189.4,443,443,true,FRA,Europe,Frankfurt,255,4.07
152.70.48.127,443,443,true,FRA,Europe,Frankfurt,253,4.01
84.8.147.99,443,443,true,FRA,Europe,Frankfurt,285,3.98
141.144.197.51,443,443,true,FRA,Europe,Frankfurt,253,3.96
138.2.144.147,443,443,true,FRA,Europe,Frankfurt,319,3.92
158.180.239.249,2053,443,true,MRS,Europe,Marseille,310,3.91
140.238.195.98,443,443,true,SYD,Oceania,Sydney,94,3.91
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,253,3.90
158.101.192.225,443,443,true,FRA,Europe,Frankfurt,318,3.88
152.70.53.108,443,443,true,FRA,Europe,Frankfurt,323,3.88
193.123.35.49,443,443,true,FRA,Europe,Frankfurt,318,3.87
152.70.155.147,2052,2052,false,LAX,North America,Los Angeles,187,3.86
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,292,3.86
143.47.243.144,2053,443,true,LHR,Europe,London,255,3.80
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,273,3.79
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,258,3.78
141.144.206.91,443,443,true,FRA,Europe,Frankfurt,255,3.78
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,252,3.78
138.2.176.62,443,443,true,FRA,Europe,Frankfurt,324,3.74
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,249,3.73
143.47.182.56,8443,443,true,AMS,Europe,Amsterdam,255,3.73
192.18.139.229,8443,443,true,SJC,North America,San Jose,185,3.72
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,266,3.72
84.235.171.34,443,443,true,FRA,Europe,Frankfurt,353,3.72
150.230.120.131,443,443,true,FRA,Europe,Frankfurt,277,3.67
158.180.239.249,2095,443,true,YYZ,North America,Toronto,316,3.66
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,260,3.56
193.123.37.134,443,443,true,FRA,Europe,Frankfurt,372,3.56
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,249,3.54
150.230.23.31,443,443,true,FRA,Europe,Frankfurt,257,3.54
132.145.54.84,2053,443,true,LHR,Europe,London,251,3.49
193.123.59.26,443,443,true,FRA,Europe,Frankfurt,354,3.47
158.180.45.176,443,443,true,FRA,Europe,Frankfurt,286,3.45
141.147.57.18,443,443,true,FRA,Europe,Frankfurt,271,3.39
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,78,3.38
193.123.37.134,443,443,true,FRA,Europe,Frankfurt,274,3.32
143.47.243.144,8443,443,true,LHR,Europe,London,251,3.31
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,254,3.30
158.180.231.216,443,443,true,MRS,Europe,Marseille,314,3.22
129.151.152.254,443,443,true,AMS,Europe,Amsterdam,81,3.22
141.147.70.96,443,443,true,FRA,Europe,Frankfurt,285,3.16
168.138.70.29,443,443,true,YYZ,North America,Toronto,241,3.16
150.230.123.248,443,443,true,FRA,Europe,Frankfurt,214,3.16
138.2.138.114,443,443,true,FRA,Europe,Frankfurt,340,3.12
158.101.202.113,443,443,true,FRA,Europe,Frankfurt,259,3.06
158.180.52.173,443,443,true,FRA,Europe,Frankfurt,232,2.98
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,250,2.96
164.152.34.166,80,8080,false,GRU,South America,São Paulo,346,2.88
129.159.83.88,8443,443,true,IAD,North America,Ashburn,245,2.88
141.144.203.152,443,443,true,FRA,Europe,Frankfurt,267,2.77
130.61.67.72,443,443,true,FRA,Europe,Frankfurt,257,2.73
89.168.69.34,443,443,true,FRA,Europe,Frankfurt,267,2.69
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,110,2.69
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,248,2.56
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,216,2.54
140.238.158.238,443,443,true,YYZ,North America,Toronto,225,2.44
193.123.233.143,2096,80,false,NRT,Asia Pacific,Tokyo,99,2.42
158.180.52.185,443,443,true,FRA,Europe,Frankfurt,278,2.31
138.2.128.181,443,443,true,FRA,Europe,Frankfurt,345,2.28
144.22.34.13,8443,443,true,SCL,South America,Santiago,320,2.12
140.238.158.238,8080,443,true,YYZ,North America,Toronto,249,2.00
158.178.129.114,8443,443,true,TLV,Middle East,Tel Aviv,292,1.96
141.144.199.113,443,443,true,FRA,Europe,Frankfurt,273,1.80
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,330,1.65
132.145.235.245,443,443,true,FRA,Europe,Frankfurt,260,1.51
144.22.34.13,2053,443,true,GRU,South America,São Paulo,343,1.39
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,248,1.27
144.21.33.155,443,443,true,FRA,Europe,Frankfurt,283,1.14
141.147.106.203,443,443,true,FRA,Europe,Frankfurt,288,1.07
158.179.206.143,443,443,true,ARN,Europe,Stockholm,278,0.99
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,252,0.93
84.235.172.81,443,443,true,FRA,Europe,Frankfurt,336,0.88
84.235.173.227,443,443,true,FRA,Europe,Frankfurt,325,0.87
140.238.82.181,443,443,true,FRA,Europe,Frankfurt,265,0.87
141.147.100.182,443,443,true,FRA,Europe,Frankfurt,287,0.81
129.159.84.71,443,443,true,IAD,North America,Ashburn,223,0.72
158.178.151.56,443,443,true,FRA,Europe,Frankfurt,282,0.69
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,246,0.60
141.147.70.236,443,443,true,FRA,Europe,Frankfurt,266,0.53
144.21.42.223,443,443,true,FRA,Europe,Frankfurt,273,0.46
141.147.100.242,443,443,true,FRA,Europe,Frankfurt,274,0.35
152.70.91.7,8443,443,true,ICN,Asia Pacific,Seoul,106,0.34
141.147.75.246,443,443,true,FRA,Europe,Frankfurt,283,0.27
158.178.206.197,2053,443,true,CDG,Europe,Paris,301,0.19
129.146.247.85,2053,443,true,LAX,North America,Los Angeles,200,0.17
84.8.156.250,443,443,true,FRA,Europe,Frankfurt,271,0.08
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,78,0.07
132.145.127.203,8443,443,true,NRT,Asia Pacific,Tokyo,84,0.04
164.152.17.14,443,443,true,ORD,North America,Chicago,216,0.03
150.136.141.153,8880,80,false,FRA,Europe,Frankfurt,222,0.02
138.2.130.51,443,443,true,FRA,Europe,Frankfurt,403,0.02
141.148.219.182,80,80,false,BOM,Asia Pacific,Mumbai,59,0.00
158.101.204.201,443,443,true,FRA,Europe,Frankfurt,264,0.00
168.138.184.172,443,443,true,SIN,Asia Pacific,Singapore,25,0.00
168.138.190.120,443,443,true,SIN,Asia Pacific,Singapore,35,0.00
150.230.221.148,443,443,true,NRT,Asia Pacific,Tokyo,68,0.00
158.179.191.151,443,443,true,NRT,Asia Pacific,Tokyo,68,0.00
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,79,0.00
158.180.67.219,443,443,true,SIN,Asia Pacific,Singapore,80,0.00
168.138.41.79,443,443,true,KIX,Asia Pacific,Osaka,80,0.00
152.70.235.207,443,443,true,NRT,Asia Pacific,Tokyo,86,0.00
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,87,0.00
158.180.73.79,443,443,true,SIN,Asia Pacific,Singapore,90,0.00
192.9.182.144,443,443,true,SYD,Oceania,Sydney,92,0.00
129.154.60.48,443,443,true,ICN,Asia Pacific,Seoul,99,0.00
152.70.248.96,443,443,true,ICN,Asia Pacific,Seoul,114,0.00
129.153.119.97,443,443,true,LAX,North America,Los Angeles,172,0.00
152.67.249.123,443,443,true,SJC,North America,San Jose,175,0.00
192.18.140.32,443,443,true,SJC,North America,San Jose,176,0.00
129.159.47.255,443,443,true,SJC,North America,San Jose,177,0.00
192.18.134.231,443,443,true,SJC,North America,San Jose,181,0.00
129.146.111.62,443,443,true,LAX,North America,Los Angeles,182,0.00
150.136.87.192,443,443,true,IAD,North America,Ashburn,230,0.00
132.226.210.59,443,443,true,LHR,Europe,London,244,0.00
158.101.98.60,2053,443,true,IAD,North America,Ashburn,244,0.00
141.144.253.109,443,443,true,FRA,Europe,Frankfurt,246,0.00
141.147.7.41,443,443,true,FRA,Europe,Frankfurt,246,0.00
132.145.152.194,443,443,true,IAD,North America,Ashburn,247,0.00
141.147.39.133,443,443,true,FRA,Europe,Frankfurt,249,0.00
143.47.184.102,443,443,true,FRA,Europe,Frankfurt,253,0.00
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,254,0.00
158.101.211.231,443,443,true,FRA,Europe,Frankfurt,255,0.00
158.101.215.3,443,443,true,FRA,Europe,Frankfurt,259,0.00
140.238.82.240,443,443,true,FRA,Europe,Frankfurt,272,0.00
132.226.206.147,443,443,true,FRA,Europe,Frankfurt,275,0.00
143.47.181.204,443,443,true,FRA,Europe,Frankfurt,282,0.00
158.101.221.126,443,443,true,FRA,Europe,Frankfurt,285,0.00
143.47.184.237,443,443,true,FRA,Europe,Frankfurt,321,0.00
